자치구,대여소명,기준년월,대여건수,반납건수,대여소명_clean,대여소_ID,주소1,주소2,위도,경도
마포구,154. 마포구청역 ,202502,986,1256,마포구청역,ST-211,서울특별시 마포구 망원동 477-23,마포구청역,37.560909,126.905495
마포구,157. 애오개역 4번출구 앞,202502,652,821,애오개역 4번출구 앞,ST-214,서울특별시 마포구 아현동 607-1,애오개역 4번출구 앞,37.553001,126.956688
서대문구,159. 이대역 4번 출구,202502,180,89,이대역 4번 출구,ST-216,서울특별시 서대문구 대현동 60-11,이대역 4번 출구,37.556953,126.946342
서대문구,161. 무악재역1번 출구,202502,80,84,무악재역1번 출구,ST-218,서울특별시 서대문구 통일로 380-4,무악재역1번 출구,37.582245,126.950645
서대문구,163. 명지전문대학교 정문 앞,202502,192,190,명지전문대학교 정문 앞,ST-220,서울특별시 서대문구 홍은동 산25-3,명지전문대학교 정문 앞,37.583698,126.924965
서대문구,164. 북가좌1동 주민센터 ,202502,213,157,북가좌1동 주민센터,ST-221,서울특별시 서대문구 북가좌동 477-1,북가좌1동 주민센터,37.574478,126.910049
서대문구,167. 연가초등학교 옆,202502,291,74,연가초등학교 옆,ST-224,서울특별시 서대문구 북가좌동 70-119,연가초등학교 옆,37.57946,126.91713
서대문구,169. 북가좌 삼거리,202502,274,238,북가좌 삼거리,ST-226,서울특별시 서대문구 북가좌동 400,북가좌 삼거리,37.573002,126.907799
서대문구,171. 임광빌딩 앞,202502,291,319,임광빌딩 앞,ST-228,서울특별시 서대문구 미근동 317-1,임광빌딩 앞,37.564724,126.967278
서대문구,173. 서대문역 8번출구 앞,202502,145,153,서대문역 8번출구 앞,ST-230,서울특별시 서대문구 충정로2가 138,서대문역 8번출구 앞,37.564777,126.966148
성동구,518. 청계천 박물관 앞,202502,469,440,청계천 박물관 앞,ST-234,서울특별시 성동구 마장동 610,청계천 박물관 앞,37.571526,127.035355
성동구,519. 양지사거리,202502,374,372,양지사거리,ST-235,서울특별시 성동구 홍익동 590,양지사거리,37.566994,127.029915
성동구,520. 상왕십리역 4번 출구 앞,202502,434,392,상왕십리역 4번 출구 앞,ST-236,서울특별시 성동구 하왕십리동 960-3,상왕십리역 4번 출구 앞,37.563858,127.030319
성동구,521. 왕십리역 11번 출구 앞,202502,631,634,왕십리역 11번 출구 앞,ST-237,서울특별시 성동구 행당동 188-9,왕십리역 11번 출구 앞,37.561447,127.03492
관악구,2189. 봉천역 4번출구,202502,528,557,봉천역 4번출구,ST-1258,서울특별시 관악구 남부순환로 1719,봉천역 4번출구,0.0,0.0
성동구,522. 금호역 1번출구 앞,202502,118,119,금호역 1번출구 앞,ST-238,서울특별시 성동구 금호동3가 1575-3,금호역 1번출구 앞,37.548641,127.016426
성동구,523. 옥수동성당 옆,202502,51,21,옥수동성당 옆,ST-239,서울특별시 성동구 옥수동 산5-148,옥수동성당 옆,37.543663,127.014061
성동구,524. 래미안금호하이리버 아파트 102동 옆,202502,151,120,래미안금호하이리버 아파트 102동 옆,ST-240,서울특별시 성동구 금호동2가 1220-1,래미안금호하이리버 아파트 102동 옆,37.5522,127.025055
성동구,525. 한양대병원사거리,202502,505,450,한양대병원사거리,ST-241,서울특별시 성동구 행당동 20-2,한양대병원사거리,37.558052,127.040352
성동구,526. 용답토속공원 앞,202502,559,551,용답토속공원 앞,ST-242,서울특별시 성동구 용답동 224-1,용답토속공원 앞,37.563511,127.056725
성동구,534. 금호사거리,202502,121,121,금호사거리,ST-246,서울특별시 성동구 금호동2가 1205-1,금호사거리,37.548634,127.025726
성동구,535. 응봉삼거리,202502,380,135,응봉삼거리,ST-247,서울특별시 성동구 응봉동 134-26,응봉삼거리,37.553986,127.033592
성동구,536. 행당역 2번출구 앞,202502,273,311,행당역 2번출구 앞,ST-248,서울특별시 성동구 행당동 347-11,행당역 2번출구 앞,37.55735,127.029213
성동구,538. 답십리역 8번출구 앞,202502,174,264,답십리역 8번출구 앞,ST-250,서울특별시 성동구 용답동 102-1,답십리역 8번출구 앞,37.56765,127.051155
성동구,550. 서울시설공단 앞,202502,833,811,서울시설공단 앞,ST-251,서울특별시 성동구 마장동 610,서울시설공단 앞,37.57164,127.03566
광진구,539. 군자교교차로,202502,716,720,군자교교차로,ST-252,서울특별시 광진구 중곡동 263-1,군자교교차로,37.559795,127.074203
광진구,540. 군자역 7번출구 베스트샵 앞,202502,968,971,군자역 7번출구 베스트샵 앞,ST-253,서울특별시 광진구 군자동 499,군자역 7번출구 베스트샵 앞,37.55603,127.078644
